WORD,ANNOTATION,A1,A2
ability,-1.0,-1.0,-1.0
able,0.0,0.0,0.0
above,-1.0,-1.0,-1.0
abrupt,0.0,0.0,0.0
absolute,0.0,0.0,0.0
absolutely,-1.0,-1.0,-1.0
accident,1.0,1.0,1.0
accomplished,-1.0,-1.0,-1.0
acknowledge,0.0,0.0,0.0
actual,1.0,1.0,1.0
actually,1.0,1.0,1.0
addict,0.0,0.0,0.0
addicted,1.0,1.0,1.0
adequate,1.0,1.0,1.0
advanced,1.0,1.0,1.0
advantage,-1.0,-1.0,-1.0
adversary,-1.0,-1.0,-1.0
affect,0.0,0.0,0.0
afford,0.0,0.0,0.0
affordable,1.0,1.0,1.0
against,-1.0,-1.0,-1.0
agree,0.0,0.0,0.0
agreed,-1.0,-1.0,-1.0
air,1.0,1.0,1.0
allow,-1.0,-1.0,-1.0
alone,0.0,0.0,0.0
alright,1.0,1.0,1.0
although,0.0,0.0,0.0
amazed,0.0,0.0,0.0
amazing,-1.0,-1.0,-1.0
amazingly,-1.0,-1.0,-1.0
amazon,-1.0,-1.0,-1.0
annoying,-1.0,-1.0,-1.0
anyway,1.0,1.0,1.0
anyways,0.0,0.0,0.0
apparently,0.0,0.0,0.0
appearance,0.0,0.0,0.0
appreciate,1.0,1.0,1.0
approval,1.0,1.0,1.0
aspire,-1.0,-1.0,-1.0
assuring,1.0,1.0,1.0
astonishing,0.0,0.0,0.0
attachment,1.0,1.0,1.0
attest,-1.0,-1.0,-1.0
attractive,0.0,0.0,0.0
available,1.0,1.0,1.0
avid,1.0,1.0,1.0
avoid,-1.0,-1.0,-1.0
aware,0.0,0.0,0.0
awe,0.0,0.0,0.0
awesome,1.0,1.0,1.0
awful,1.0,1.0,1.0
baby,0.0,0.0,0.0
back,0.0,0.0,0.0
bad,1.0,1.0,1.0
barely,1.0,1.0,1.0
bargain,0.0,0.0,0.0
basic,0.0,0.0,0.0
beast,1.0,1.0,1.0
beautiful,1.0,1.0,1.0
beautifully,0.0,0.0,0.0
beauty,0.0,0.0,0.0
believe,0.0,0.0,0.0
benefits,-1.0,-1.0,-1.0
