WORD,ANNOTATION,A1,A2
ability,1.0,1.0,1.0
able,1.0,1.0,1.0
above,-1.0,-1.0,-1.0
abrupt,1.0,1.0,1.0
absolute,-1.0,-1.0,-1.0
absolutely,1.0,1.0,1.0
accident,0.0,0.0,0.0
accomplished,-1.0,-1.0,-1.0
acknowledge,-1.0,-1.0,-1.0
actual,-1.0,-1.0,-1.0
actually,-1.0,-1.0,-1.0
addict,-1.0,-1.0,-1.0
addicted,-1.0,-1.0,-1.0
adequate,0.0,0.0,0.0
advanced,0.0,0.0,0.0
advantage,0.0,0.0,0.0
adversary,0.0,0.0,0.0
affect,-1.0,-1.0,-1.0
afford,0.0,0.0,0.0
affordable,-1.0,-1.0,-1.0
against,0.0,0.0,0.0
agree,1.0,1.0,1.0
agreed,1.0,1.0,1.0
air,1.0,1.0,1.0
allow,1.0,1.0,1.0
alone,1.0,1.0,1.0
alright,-1.0,-1.0,-1.0
although,-1.0,-1.0,-1.0
amazed,-1.0,-1.0,-1.0
amazing,0.0,0.0,0.0
amazingly,0.0,0.0,0.0
amazon,-1.0,-1.0,-1.0
annoying,0.0,0.0,0.0
anyway,-1.0,-1.0,-1.0
anyways,-1.0,-1.0,-1.0
apparently,1.0,1.0,1.0
appearance,-1.0,-1.0,-1.0
appreciate,0.0,0.0,0.0
approval,-1.0,-1.0,-1.0
aspire,-1.0,-1.0,-1.0
assuring,-1.0,-1.0,-1.0
astonishing,0.0,0.0,0.0
attachment,-1.0,-1.0,-1.0
attest,0.0,0.0,0.0
attractive,0.0,0.0,0.0
available,-1.0,-1.0,-1.0
avid,-1.0,-1.0,-1.0
avoid,0.0,0.0,0.0
aware,-1.0,-1.0,-1.0
awe,0.0,0.0,0.0
awesome,-1.0,-1.0,-1.0
awful,1.0,1.0,1.0
baby,1.0,1.0,1.0
back,-1.0,-1.0,-1.0
bad,0.0,0.0,0.0
barely,1.0,1.0,1.0
bargain,-1.0,-1.0,-1.0
basic,1.0,1.0,1.0
beast,0.0,0.0,0.0
beautiful,0.0,0.0,0.0
beautifully,0.0,0.0,0.0
beauty,-1.0,-1.0,-1.0
